"year","make","model","trim"
2019,Acura,ILX,Base
2019,Acura,ILX,w/Premium
2019,Acura,ILX,w/Premium w/A-SPEC
2019,Acura,ILX,w/Tech
2019,Acura,ILX,w/Tech w/A-SPEC
2019,Acura,MDX,Base
2019,Acura,MDX,SH-AWD
2019,Acura,MDX,SH-AWD Sport Hybrid w/Advance
2019,Acura,MDX,SH-AWD Sport Hybrid w/Tech
2019,Acura,MDX,SH-AWD w/Advance
2019,Acura,MDX,SH-AWD w/Tech w/A-SPEC
2019,Acura,MDX,SH-AWD w/Tech w/RES
2019,Acura,MDX,w/Advance
2019,Acura,MDX,w/Advance w/RES
2019,Acura,MDX,w/Tech
2019,Acura,RLX,SH-AWD Sport Hybrid w/Advance
2019,Alfa Romeo,Giulia,Base
2019,Alfa Romeo,Giulia,Sport
2019,Alfa Romeo,Giulia,Ti
2019,Alfa Romeo,Giulia,Ti Lusso
2019,Alfa Romeo,Giulia,Ti Sport
2019,Alfa Romeo,Giulia,Ti Sport Carbon
2019,Alfa Romeo,Giulia Quadrifoglio,Base
2019,Alfa Romeo,Stelvio,Base
2019,Alfa Romeo,Stelvio,Sport
2019,Alfa Romeo,Stelvio,Ti
2019,Alfa Romeo,Stelvio,Ti Lusso
2019,Alfa Romeo,Stelvio,Ti Sport
2019,Alfa Romeo,Stelvio Quadrifoglio,Base
2019,Audi,A3,"2.0T Premium"
2019,Audi,A3,"2.0T Premium Plus"
2019,Audi,A3,"2.0T quattro Premium"
2019,Audi,A3,"2.0T quattro Premium Plus"
2019,Audi,A3,"2.0T Titanium"
2019,Audi,A4,"2.0T Premium"
2019,Audi,A4,"2.0T Premium Plus"
2019,Audi,A4,"2.0T quattro Premium"
2019,Audi,A4,"2.0T quattro Premium Plus"
2019,Audi,A4,"2.0T quattro Prestige"
2019,Audi,A4,"2.0T Titanium"
2019,Audi,A4 allroad,"2.0T quattro Premium Plus"
2019,Audi,A4 allroad,"2.0T quattro Prestige"
2019,Audi,A5,"2.0T quattro Premium"
2019,Audi,A5,"2.0T quattro Premium Plus"
2019,Audi,A5,"2.0T quattro Prestige"
2019,Audi,A5 Sportback,"2.0T quattro Premium"
2019,Audi,A5 Sportback,"2.0T quattro Premium Plus"
2019,Audi,A5 Sportback,"2.0T quattro Prestige"
2019,Audi,A6,"2.0T quattro Premium"
2019,Audi,A6,"2.0T quattro Premium Plus"
2019,Audi,A6,"3.0T quattro Premium"
2019,Audi,A6,"3.0T quattro Premium Plus"
2019,Audi,A6,"3.0T quattro Prestige"
2019,Audi,A7,"3.0T quattro Premium Plus"
2019,Audi,A7,"3.0T quattro Prestige"
2019,Audi,A8 L,"3.0T quattro"
2019,Audi,A8 L,"4.0T quattro"
2019,Audi,e-tron,quattro Premium Plus
2019,Audi,e-tron,quattro Prestige
2019,Audi,Q3,"2.0T quattro Premium"
2019,Audi,Q3,"2.0T quattro Premium Plus"
2019,Audi,Q3,"2.0T quattro Premium Plus S line"
2019,Audi,Q5,"2.0T quattro Premium"
2019,Audi,Q5,"2.0T quattro Premium Plus"
2019,Audi,Q5,"2.0T quattro Prestige"
2019,Audi,Q7,"2.0T quattro Premium"
2019,Audi,Q7,"2.0T quattro Premium Plus"
2019,Audi,Q7,"2.0T quattro SE Premium"
2019,Audi,Q7,"2.0T quattro SE Premium Plus"
